Marval,FullName,UppercaseName,Supervisorusername,Supervisor,homeDirectory,HomeFolderSize,AccountStatus,HomeFolderStatus,HomeFoldertobecopied,Disabledfolder,Disabledfolderpath,DisabledFolderRoot,Name,Disabledfolderpathfromfolderon,CutShare,NetAPPSharePath,HomeServerName,ServerUNC,Sharename,attribute8,attribute10,Date,ninetydaysahead,Days to add to Disabled Directory,samAccountName,ADMAccount,Perm,Perm1,Perm2,Rule,Administrators,DomainAdmin,ServerAdmin,aGGcityDOPS,aGGDataAdmins,AccountAdmin
747042,,belangerch,,,\\cmfp032\belangerch$,0.52 mb,Disabled,Home Folder Exists,\\cmfp032\belangerch$,\\cmfp535\e$\DisabledAccounts\belangerch-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\belangerch-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\,belangerch,\\cmfp535\e$\DisabledAccounts\belangerch-cmfp032-Aug-21-2014,DisabledAccounts\belangerch-cmfp032-Aug-21-2014,DisabledAccounts\belangerch-cmfp032-Aug-21-2014,cmfp032,\\cmfp032\,belangerch$,Inactive,0MB,23/05/2014,Aug-21-2014,90,belangerch,ADM-belangerch,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,brousseaudo,,,\\cmfp032\BROUSSEAUDO$,"5,221.42 mb",Disabled,Home Folder Exists,\\cmfp032\BROUSSEAUDO$,\\cmfp535\e$\DisabledAccounts\brousseaudo-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\brousseaudo-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\,brousseaudo,\\cmfp535\e$\DisabledAccounts\brousseaudo-cmfp032-Aug-21-2014,DisabledAccounts\brousseaudo-cmfp032-Aug-21-2014,DisabledAccounts\brousseaudo-cmfp032-Aug-21-2014,cmfp032,\\cmfp032\,brousseaudo$,Inactive,0MB,23/05/2014,Aug-21-2014,90,brousseaudo,ADM-brousseaudo,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,fergusonjo1,,,\\cmfp535\fergusonjo1$,0.00 mb,Disabled,Empty Home Folder,,,Empty Home Folder,,fergusonjo1,,#VALUE!,,cmfp535,\\cmfp535\,fergusonjo1$,Inactive,0MB,23/05/2014,Aug-21-2014,90,fergusonjo1,ADM-fergusonjo1,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,herodad,,,\\cmfp032\herodad$,70.90 mb,Disabled,Home Folder Exists,\\cmfp032\herodad$,\\cmfp535\e$\DisabledAccounts\herodad-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\herodad-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\,herodad,\\cmfp535\e$\DisabledAccounts\herodad-cmfp032-Aug-21-2014,DisabledAccounts\herodad-cmfp032-Aug-21-2014,DisabledAccounts\herodad-cmfp032-Aug-21-2014,cmfp032,\\cmfp032\,herodad$,Inactive,0MB,23/05/2014,Aug-21-2014,90,herodad,ADM-herodad,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,langevinyv,,,\\cmfp032\langevinyv$,4.27 mb,Disabled,Home Folder Exists,\\cmfp032\langevinyv$,\\cmfp535\e$\DisabledAccounts\langevinyv-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\langevinyv-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\,langevinyv,\\cmfp535\e$\DisabledAccounts\langevinyv-cmfp032-Aug-21-2014,DisabledAccounts\langevinyv-cmfp032-Aug-21-2014,DisabledAccounts\langevinyv-cmfp032-Aug-21-2014,cmfp032,\\cmfp032\,langevinyv$,Inactive,0MB,23/05/2014,Aug-21-2014,90,langevinyv,ADM-langevinyv,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,MacGregoKe,,,\\cmfp032\MacGregoKe$,140.53 mb,Disabled,Home Folder Exists,\\cmfp032\MacGregoKe$,\\cmfp535\e$\DisabledAccounts\macgregoke-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\macgregoke-cmfp032-Aug-21-2014,\\cmfp535\e$\DisabledAccounts\,macgregoke,\\cmfp535\e$\DisabledAccounts\macgregoke-cmfp032-Aug-21-2014,DisabledAccounts\macgregoke-cmfp032-Aug-21-2014,DisabledAccounts\macgregoke-cmfp032-Aug-21-2014,cmfp032,\\cmfp032\,macgregoke$,Inactive,0MB,23/05/2014,Aug-21-2014,90,MacGregoKe,ADM-MacGregoKe,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,volcyma1,,,\\cmfp032\volcyma1$,0.00 mb,Disabled,Empty Home Folder,,,Empty Home Folder,,volcyma1,,#VALUE!,,cmfp032,\\cmfp032\,volcyma1$,Inactive,0MB,23/05/2014,Aug-21-2014,90,volcyma1,ADM-volcyma1,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
747042,,willmottbr,,,\\cmfp032\willmottbr$,0.00 mb,Disabled,Empty Home Folder,,,Empty Home Folder,,willmottbr,,#VALUE!,,cmfp032,\\cmfp032\,willmottbr$,Inactive,0MB,23/05/2014,Aug-21-2014,90,willmottbr,ADM-willmottbr,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
749845,,parkerbr,,,\\cmfp039\parkerbr$,0.00 mb,Disabled,Empty Home Folder,,,Empty Home Folder,,parkerbr,,#VALUE!,,cmfp039,\\cmfp039\,parkerbr$,Inactive,0MB,23/05/2014,Aug-21-2014,90,parkerbr,ADM-parkerbr,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
749845,,piamontevi,,,\\cmfp039\piamontevi$,0.00 mb,Disabled,Empty Home Folder,,,Empty Home Folder,,piamontevi,,#VALUE!,,cmfp039,\\cmfp039\,piamontevi$,Inactive,0MB,23/05/2014,Aug-21-2014,90,piamontevi,ADM-piamontevi,fullControl,Modify,ReadAndExecute,Allow,Administrators,City\Domain Admins,City\Server Admins,A\aGG City DOPS,A\aGG Data Admins,City\Account Admins
